5,79069767,5,79111809,42042
9,128504700,9,128947699,442999
6,30489509,6,31268749,779240
X,54920462,X,54807599,-112863
6,28349947,6,28431930,81983
6,28349947,6,28241697,-108250
6,28349947,6,28281572,-68375
6,28349947,6,28570535,220588
6,28431930,6,28241697,-190233
6,28431930,6,28281572,-150358
6,28431930,6,28570535,138605
7,99473877,7,100015572,541695
6,28241697,6,28281572,39875
6,28241697,6,28570535,328838
6,28281572,6,28570535,288963
1,85018082,1,84925583,-92499
9,114329869,9,114323056,-6813
1,109733932,1,109668022,-65910
1,109733932,1,109711780,-22152
1,109733932,1,109656099,-77833
1,109668022,1,109711780,43758
1,109668022,1,109656099,-11923
1,109711780,1,109656099,-55681
1,13254212,1,13315581,61369
1,13254212,1,12879212,-375000
1,13315581,1,12879212,-436369
7,100367530,7,100352176,-15354
8,81440326,8,81280536,-159790
5,141958328,5,141853111,-105217
9,21227243,9,21239002,11759
9,21227243,9,21409117,181874
9,21227243,9,21186694,-40549
9,21227243,9,21384255,157012
9,21227243,9,21349835,122592
9,21227243,9,21304326,77083
9,21239002,9,21409117,170115
9,21239002,9,21186694,-52308
9,21239002,9,21384255,145253
9,21239002,9,21349835,110833
9,21239002,9,21304326,65324
9,21409117,9,21186694,-222423
9,21409117,9,21384255,-24862
9,21409117,9,21349835,-59282
9,21409117,9,21304326,-104791
9,21186694,9,21384255,197561
9,21186694,9,21349835,163141
9,21186694,9,21304326,117632
9,21384255,9,21349835,-34420
9,21384255,9,21304326,-79929
9,21349835,9,21304326,-45509
7,134527567,7,134549110,21543
8,123248451,8,122781655,-466796
2,108288639,2,108377911,89272
6,26234268,6,26055787,-178481
1,1635227,1,1702379,67152
1,85018082,1,84925583,-92499
4,99304971,4,99336497,31526
1,88979456,1,89995110,1015654
8,81440326,8,81280536,-159790
4,74445136,4,74445136,0
9,114329869,9,114323056,-6813
4,82352498,4,82422564,70066
1,152302165,1,152348735,46570
3,129127415,3,129087569,-39846
9,134903232,9,134880810,-22422
1,19303965,1,19282573,-21392
1,19303965,1,19265982,-37983
1,19282573,1,19265982,-16591
9,134903232,9,134880810,-22422
2,208142573,2,208128137,-14436
5,79069767,5,79111809,42042
1,20589086,1,20499448,-89638
9,134903232,9,134880810,-22422
3,46719583,3,46712117,-7466
3,129127415,3,129087569,-39846
9,21409117,9,21239002,-170115
5,141475947,5,141421047,-54900
1,109548615,1,109603254,54639
3,129127415,3,129087569,-39846
2,47695530,2,47403067,-292463
6,26234268,6,26107419,-126849
6,28431930,6,28124609,-307321
9,94558720,9,94603133,44413
1,24631716,1,23964347,-667369
9,22002903,9,21967753,-35150
2,26847747,2,26970637,122890
1,8861000,1,7954291,-906709
5,140401908,5,140401814,-94
X,30230436,X,30242000,11564
1,27830782,1,28369582,538800
6,167357031,6,167146414,-210617
7,99374249,7,99325898,-48351
7,102473118,7,102665368,192250
X,53191321,X,53082367,-108954
5,52787916,5,52989340,201424
1,156212982,1,156212993,11
1,1702379,1,1635227,-67152
2,177548998,2,177612999,64001
1,160876540,1,160945025,68485
9,94558720,9,94603133,44413
1,85018082,1,84925583,-92499
6,31827738,6,31809619,-18119
9,21384255,9,21349835,-34420
9,21384255,9,21304326,-79929
9,21349835,9,21304326,-45509
9,22002903,9,21967753,-35150
6,28241697,6,28349947,108250
6,28241697,6,28570535,328838
6,28349947,6,28570535,220588
5,52787916,5,52989340,201424
6,26107419,6,26234268,126849
6,26457904,6,26383096,-74808
1,20740266,1,19251805,-1488461
9,133328776,9,133406059,77283
1,112673141,1,113761832,1088691
7,100367530,7,100352176,-15354
1,88979456,1,89995110,1015654
4,82352498,4,82422564,70066
4,154562956,4,154604134,41178
2,79085023,2,79120362,35339
1,161663147,1,161505430,-157717
1,161663147,1,161581339,-81808
1,161505430,1,161581339,75909
6,29826967,6,29941260,114293
6,29826967,6,29887752,60785
6,29826967,6,29722775,-104192
6,29941260,6,29887752,-53508
6,29941260,6,29722775,-218485
6,29887752,6,29722775,-164977
7,134527567,7,134549110,21543
9,21367424,9,21227243,-140181
9,21367424,9,21186694,-180730
9,21367424,9,21304326,-63098
9,21227243,9,21186694,-40549
9,21227243,9,21304326,77083
9,21186694,9,21304326,117632
8,81440326,8,81280536,-159790
8,81440326,8,81280536,-159790
7,100367530,7,100352176,-15354
3,129127415,3,129087569,-39846
6,26457904,6,26383096,-74808
9,134903232,9,134880810,-22422
2,233636454,2,233681938,45484
7,134527567,7,134549110,21543
9,21227243,9,21186694,-40549
9,21227243,9,21304326,77083
9,21186694,9,21304326,117632
9,87726109,9,87772453,46344
6,26402237,6,26365159,-37078
6,26402237,6,26440472,38235
6,26365159,6,26440472,75313
